,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-LL-A73Z-01,30.7622,397.259,801.1938,117.0799,5559.6878,483.9302,106.5197,779.6143,989.899
TCGA-AN-A0FL-01,0.4606,180.152,419.6223,134.5002,4100.8752,166.2828,79.2262,523.7218,3686.3197
TCGA-AN-A0FJ-01,1.2005,798.9616,120.6483,348.7395,3278.5114,202.8812,506.0024,3614.0456,2720.8884
TCGA-A1-A0SM-01,14.8359,251.8592,448.8636,137.3106,1666.351,469.0657,106.6919,1063.447,2121.5278
TCGA-A8-A07S-01,5.3552,363.2064,366.4965,135.5535,2031.2945,222.5755,40.4987,1300.6443,1923.1863
TCGA-AC-A7VB-01,0.2927,256.2189,44.1908,274.5098,2651.156,620.4273,97.7466,1796.3126,1823.2368
TCGA-E2-A56Z-01,86.5645,574.1073,400.3607,197.9261,3899.459,424.2561,101.4427,1414.7881,944.5446
TCGA-EW-A1IY-01,82.6795,368.4232,525.1418,228.8501,2017.041,1327.669,54.1791,1431.7944,2559.3959
TCGA-A1-A0SB-01,4.9555,398.9909,218.9436,147.3139,3621.579,522.5814,57.2137,454.5557,2033.5623
TCGA-E2-A1LK-01,0.5869,287.9211,125.599,115.6215,2299.5184,119.7299,555.2181,2211.4817,1504.8406
TCGA-OL-A97C-01,215.395,352.9169,438.2174,89.8042,1635.3815,424.0378,192.4375,1119.5138,1158.0014
TCGA-A8-A09R-01,286.1461,300.1051,803.1666,213.3141,2095.7179,462.3246,94.4225,1295.1421,3018.0641
TCGA-A8-A07R-01,2.1008,371.7497,1070.5282,231.3926,6478.9916,265.3061,772.509,4293.2173,1166.8667
TCGA-A8-A079-01,3.0496,345.1453,1003.9814,232.105,4976.1965,176.8742,67.7679,2711.7323,2471.834
TCGA-E2-A15K-06,1.6841,343.001,190.6366,174.8063,6610.3065,217.5817,30.9869,1127.3156,1624.1159
TCGA-BH-AB28-01,27.1024,311.2993,1086.4886,123.9538,4870.8649,258.6688,81.7059,612.9932,1604.6234
TCGA-E9-A2JT-01,223.796,345.7436,3425.6374,114.0227,978.7535,1137.3938,60.9065,757.7904,1403.6827
TCGA-BH-A6R8-01,258.0423,285.4196,551.9621,120.7417,3862.6994,342.2165,22.7684,826.5632,1127.7275
TCGA-BH-A0E6-01,6.5421,425.4019,757.4766,100.0,6427.1028,142.5234,483.6449,4631.7757,859.8131
TCGA-BH-A8FY-01,1.6641,679.0625,281.7917,98.1833,5698.5162,458.1889,36.6107,634.586,809.3191
TCGA-C8-A278-01,78.4115,395.0411,1133.312,184.0677,1590.1587,617.3245,151.8392,2246.3566,2312.8071
TCGA-E9-A1NI-01,10.9489,308.4046,436.3921,178.3107,4832.6382,210.1147,90.7195,2215.3285,1633.4724
TCGA-PL-A8LZ-01,40.1409,578.9431,981.3174,317.7111,7912.4586,1421.5864,385.6091,2333.2977,1015.9069
TCGA-D8-A1Y1-01,31.4914,215.3531,769.6711,131.0362,2860.3797,587.9284,85.4004,2530.7875,1005.8566
TCGA-5T-A9QA-01,0.0,341.6266,702.9289,198.7448,5130.7531,206.0669,134.9372,1910.0418,680.9623
TCGA-AN-A0AJ-01,13.1589,338.0546,761.1215,197.9813,2277.9813,349.9065,136.6729,4008.972,2262.4299
TCGA-A8-A07W-01,25.1053,222.3977,687.0581,147.7715,2248.6693,234.5277,51.1639,2211.8058,2607.7699
TCGA-A8-A099-01,1.8632,203.7663,241.1499,214.2667,3531.0088,397.1254,16.7687,380.0905,2509.9814
TCGA-A8-A09A-01,91.0739,212.7322,344.812,159.4925,2932.0344,361.5768,53.0131,1584.957,1565.9266
TCGA-A8-A08L-01,70.4315,596.3737,1587.8807,129.7589,2943.5279,205.901,295.0508,2404.5051,2579.632
TCGA-D8-A27R-01,92.0044,205.6517,520.2629,120.7558,6541.0734,223.4392,285.3231,3305.0383,1907.448
TCGA-A7-A3J0-01,81.8487,283.0028,487.7356,165.2466,1204.7508,1341.0793,51.1232,867.8027,1430.9321
TCGA-C8-A1HL-01,5.1626,561.967,309.2411,243.1595,3933.9184,326.794,160.0413,3346.412,1979.8658
TCGA-A7-A6VX-01,451.3114,254.5834,863.5834,72.5015,9407.6109,357.7887,231.2327,1188.7678,1559.8556
TCGA-EW-A1PE-01,270.5237,208.6847,566.4786,165.3024,5224.8271,862.7513,42.2793,693.6343,1967.4164
TCGA-BH-A42T-01,14.9789,426.3692,935.0649,125.249,4373.1974,109.6327,182.9336,2477.8902,1161.9791
TCGA-A7-A3IZ-01,1.0152,255.5702,1434.8562,195.2623,5049.7462,178.6802,33.1641,1337.7327,1594.9239
TCGA-A2-A25F-01,224.8262,231.1589,3013.1342,255.215,559.8764,1452.2277,610.3528,3520.2163,1641.2568
TCGA-LD-A9QF-01,64.6109,233.9011,1521.7817,81.2531,2597.6505,591.7768,101.3216,637.7876,946.1576
TCGA-A7-A5ZW-01,613.2887,359.6918,758.0123,150.9771,2426.354,642.3227,24.5673,278.2803,1416.4154
TCGA-BH-A0GZ-01,32.111,560.7977,239.6346,156.2418,3348.1747,259.2846,58.9501,1097.0472,1754.1253
TCGA-C8-A1HF-01,15.147,927.4102,1138.1051,220.9682,1233.7392,440.1544,328.7793,3605.5836,1194.2382
TCGA-A8-A07P-01,96.4064,161.3994,326.1921,187.6296,2759.1569,340.3594,52.868,1321.7001,1485.1417
TCGA-A7-A5ZX-01,45.8312,517.5038,431.7136,131.3555,4486.9565,378.5166,13.0946,131.3555,865.8824
TCGA-E2-A15M-01,143.3581,447.4917,1113.8614,188.5314,3045.9983,945.9571,152.6403,2573.8449,1650.7838
TCGA-E2-A1IU-01,97.0195,232.4111,411.0997,154.1624,5045.0154,354.779,35.3546,435.7657,1519.0134
TCGA-E9-A1R6-01,495.4948,242.7158,596.9289,53.636,1915.2076,220.3821,92.6772,1596.3104,1532.8229
TCGA-A7-A3J1-01,88.4493,232.7981,1311.9551,157.7044,5266.7551,611.6232,37.351,440.4309,1495.5976
TCGA-C8-A1HI-01,38.0435,353.0124,900.1035,119.3064,3129.3996,377.588,54.8654,946.4286,2517.3395
TCGA-A7-A3IY-01,758.6792,401.9917,1025.8936,140.0692,1549.1447,370.9564,54.1415,542.1133,1018.9076
TCGA-C8-A1HG-01,62.3167,685.3079,624.6334,350.4399,1125.3666,420.088,31.5249,3250.0,1109.2375
TCGA-W8-A86G-01,31.3242,420.5268,403.8918,93.0233,5681.5377,336.4974,28.0019,258.187,958.2345
TCGA-AC-A62V-01,7.4883,330.1966,202.1841,76.5471,3435.0494,48.2579,66.5627,1082.4753,720.9568
TCGA-4H-AAAK-01,9.7872,249.2851,1120.0,152.3404,2248.0851,473.617,56.5957,741.7021,1294.8936
TCGA-AO-A1KS-01,1395.3565,348.2244,328.5136,398.9094,1613.1538,652.4002,116.0043,2179.9554,2952.9869
TCGA-JL-A3YX-01,449.0554,348.5135,735.8315,145.8656,6596.7792,291.1118,86.7142,1205.3267,834.0043
TCGA-C8-A12N-01,7.659,357.8676,373.2742,139.8771,1612.0125,388.5922,20.9614,476.8719,1358.4601
TCGA-C8-A12M-01,294.4999,548.3759,157.7103,276.2612,1720.8662,409.8322,38.6229,997.7591,3367.7051
TCGA-C8-A12P-01,6.496,286.4196,392.4341,91.7081,2189.53,391.2877,316.7749,2484.9064,2753.9167
TCGA-JL-A3YW-01,85.3746,309.7334,760.8069,124.6398,7374.2795,331.4121,311.5994,914.2651,1182.6369
TCGA-B6-A0I9-01,983.7476,452.5749,412.6832,241.5551,7972.9127,204.9076,123.327,1208.413,2181.963
TCGA-C8-A12L-01,9.4974,333.7554,722.9917,227.1468,3267.5109,254.0562,237.4357,3458.6466,1497.4278
TCGA-A7-A426-01,47.1436,440.4465,357.4598,121.7415,4064.6145,392.1242,28.8408,610.3716,880.7543
TCGA-A8-A0A1-01,118.9759,300.5321,1560.241,172.1888,4006.0241,775.1004,25.6024,1037.1486,1893.0723
TCGA-A8-A09B-01,396.3682,241.2134,446.8721,122.2542,2406.422,293.2707,46.3242,574.0025,2075.1863
TCGA-BH-A1EV-01,34.5396,164.3582,524.3039,182.7884,2701.8531,482.0025,42.6894,1303.5801,2824.8763
TCGA-A8-A07J-01,36.3427,211.6389,1006.0955,125.5894,1251.2938,475.2156,17.4813,343.1857,2082.5762
TCGA-A8-A097-01,5.1622,358.9183,480.8979,187.4687,2086.6078,296.6895,84.2251,1321.5183,2105.6264
TCGA-A8-A08I-01,75.6628,426.3501,1681.5676,310.5926,2020.1753,1348.4747,121.5458,2100.4705,2329.2237
TCGA-C8-A1HK-01,29.0073,636.2191,1736.4341,236.5591,3129.7824,261.0653,20.5051,2195.5489,1703.4259
TCGA-A7-A5ZV-01,3.1686,471.3942,361.2167,168.5678,1225.602,271.2294,216.0963,3007.6046,1678.7072
TCGA-C8-A130-01,135.1044,299.8292,425.8065,188.9943,2320.6831,171.1575,208.3491,1745.7306,1748.3871
TCGA-EW-A1IW-01,66.6849,341.2408,1065.865,232.5772,5967.7508,391.3638,62.3121,1905.1653,2355.5616
TCGA-D8-A1JS-01,189.3376,317.0081,112.1163,135.0565,2489.4992,367.0436,11.6317,238.4491,918.5784
TCGA-D8-A27W-01,413.4969,197.1853,672.1472,254.2331,1083.9264,316.319,116.5644,2804.4172,1779.3865
TCGA-AC-A6IX-06,59.3846,372.2241,1716.4168,183.8916,3869.4686,551.6747,147.7444,440.0775,1678.8353
TCGA-AN-A0XO-01,81.302,361.6459,493.4973,309.5729,6477.4359,280.0085,45.4836,1058.347,2100.2061
TCGA-E9-A295-01,77.2667,236.7741,581.9148,90.7884,2215.1394,548.5935,60.3646,1036.3395,964.8678
TCGA-C8-A1HO-01,51.203,239.2721,123.3806,278.8402,1869.8334,782.5416,59.8396,1480.5676,2467.6126
TCGA-C8-A1HE-01,9.9136,410.6799,324.2012,127.8049,3755.3754,525.4203,37.5109,735.2133,2290.5754
TCGA-C8-A1HM-01,24.6212,522.0597,1219.697,293.0871,3973.0114,612.6894,121.6856,4006.1553,1464.4886
TCGA-LL-A7T0-01,80.5085,577.1139,844.6328,96.0452,2954.3315,210.452,132.2976,2378.0603,1143.597
TCGA-D8-A1XC-01,2.2143,245.7617,317.5376,166.0762,1353.853,237.3782,10.186,447.7414,2133.3038
TCGA-C8-A137-01,7.4349,217.0313,225.1726,268.7201,3326.0754,116.3038,286.7764,2755.1779,2343.6006
TCGA-C8-A138-01,11.3009,303.624,467.9594,275.3307,6379.8639,560.9349,24.1428,2118.4025,1520.4829
TCGA-C8-A8HQ-01,12.069,351.4552,959.3103,167.5862,3672.7586,408.2759,110.0,2333.1034,1842.069
TCGA-D8-A27V-01,200.7131,231.1619,539.2198,281.8792,4652.2651,1071.7282,24.9581,408.557,1010.6963
TCGA-C8-A26W-01,494.2945,572.3741,586.9747,257.1667,2279.4322,947.9544,98.5249,2426.663,2485.6666
TCGA-C8-A12Z-01,0.0,207.6902,721.8193,120.4671,5678.1807,126.8593,64.9047,1988.445,3029.8709
TCGA-C8-A132-01,34.749,394.1815,884.9421,108.4942,3470.2703,473.7452,59.8456,1017.7606,2347.8764
TCGA-C8-A134-01,23.507,841.1859,839.8983,145.2774,3491.3172,627.9119,631.3003,4974.1635,2083.651
TCGA-C8-A12X-01,1.4388,193.5971,194.2446,143.1655,4089.9281,268.3453,80.5755,899.2806,1185.6115
TCGA-C8-A12O-01,162.8365,186.1029,626.8138,214.7451,2314.5535,513.3971,74.663,1689.8729,1882.9302
TCGA-C8-A12Q-01,19.4044,215.0071,477.6476,191.6561,2389.7306,398.8357,72.2442,1378.0133,2363.7585
TCGA-D8-A73W-01,7.5251,312.3077,679.7659,117.0569,3985.786,607.8595,20.4849,524.6656,1339.8829
TCGA-C8-A12W-01,145.8783,191.1308,622.7881,148.4678,5711.2646,313.7678,50.4963,3080.2762,1576.6077
TCGA-C8-A12U-01,15.1384,180.8131,355.1038,195.0692,4083.045,205.0173,118.0796,3902.6817,1977.0761
TCGA-BH-A0HU-01,37.3016,504.4896,564.9015,201.2945,4392.1848,202.6387,277.242,3222.0557,1590.5287
TCGA-C8-A135-01,4.1475,203.659,907.3733,74.6544,6868.2028,343.318,138.2488,2849.3088,2043.318
TCGA-E2-A15H-01,65.996,286.5674,823.34,181.8913,3485.7143,403.2193,60.3622,1754.5272,1874.0443
TCGA-C8-A1HN-01,24.8005,424.1963,335.0702,172.0203,3661.7637,350.3727,140.8878,1974.8038,2804.5643
TCGA-C8-A3M8-01,933.3333,400.312,751.2,216.5333,3549.0667,155.7333,108.5333,1499.2,2308.5333
TCGA-D8-A1XU-01,7.1654,362.6684,1424.1903,86.2711,4658.0682,351.6767,53.597,643.7375,2641.7312
TCGA-C8-A8HP-01,15.7983,300.7383,798.4202,96.6125,2155.856,277.6849,393.1338,1450.4026,1460.7322
TCGA-A8-A086-01,61.8798,253.5917,552.2306,235.6434,2030.7837,303.4612,56.5669,1492.9291,1689.507
TCGA-A8-A06P-01,19.1672,166.9564,786.8473,138.7971,4389.9537,592.5314,44.2829,428.9491,1447.7859
TCGA-A8-A06O-01,45.2112,208.0904,714.5407,177.7853,4699.2436,253.2506,93.4818,1838.3615,2492.7339
TCGA-A8-A0A4-01,140.149,272.6028,678.9827,187.5907,3081.5367,521.4239,33.5139,1257.4237,1820.1958
TCGA-D8-A27T-01,254.0424,169.7971,910.0421,206.6167,3607.0037,442.4184,33.4964,944.2019,1261.2574
TCGA-LD-A74U-01,13.4831,337.2584,747.2932,87.0276,6040.858,520.5312,51.8897,612.8703,1108.0695
TCGA-D8-A140-01,625.1962,275.0589,963.1083,212.7159,2427.7865,584.3799,19.6232,808.4772,2265.3061
TCGA-EW-A1J2-01,329.1695,336.2626,1167.535,145.1259,7994.9783,455.2131,15.8182,180.2774,1987.0692
TCGA-LD-A7W6-01,410.6536,616.7019,582.9241,165.8481,4842.0854,351.7189,14.3559,933.1318,1166.2259
TCGA-D8-A1JT-01,1.489,452.6921,1307.6236,287.0756,2523.5259,514.2942,25.6105,1343.9547,2271.888
TCGA-A7-A3RF-01,0.0,240.5307,182.3284,136.066,1662.0461,146.6111,12.2459,447.6571,1184.7946
TCGA-C8-A8HR-01,29.6846,341.9579,1166.8667,201.6807,5439.2666,445.7056,88.1807,1523.5185,1135.436
TCGA-D8-A27G-01,91.6154,281.4762,499.5144,205.2444,2916.8016,402.0719,69.2781,929.1033,2150.2104
TCGA-D8-A145-01,151.3317,284.1929,556.9007,227.1994,3159.4027,618.6441,36.3196,573.0428,2305.8918
TCGA-GM-A5PV-01,394.3718,359.9604,498.6128,120.4915,3057.0749,366.2307,19.025,264.3678,1437.178
TCGA-BH-A0HP-01,3.5404,307.4187,1058.2556,127.4541,5192.7905,640.4892,29.9324,1258.4487,1538.7834
TCGA-A1-A0SJ-01,474.8057,214.0247,293.3699,115.5921,6397.8052,633.562,92.5469,1451.8519,1101.0517
TCGA-AC-A62X-01,0.8327,581.5301,59.5399,147.8089,6969.085,868.117,335.1723,2806.7034,2062.6626
TCGA-A7-A4SB-01,334.4635,501.024,89.4962,96.3806,683.8431,266.1939,193.3348,1127.3084,1084.2814
TCGA-S3-AA11-01,266.9924,383.9449,717.4589,138.6051,3787.6499,188.805,63.5273,825.8552,1532.6522
TCGA-BH-A0DK-01,190.8191,211.6967,844.2844,155.7156,3623.7624,391.0891,78.3078,1710.171,1654.8155
TCGA-EW-A1PD-01,9.4524,479.1051,1204.8437,181.6212,5716.3402,325.4327,262.9793,2158.5235,2104.8474
TCGA-S3-AA17-01,123.1703,311.1656,1513.6073,128.8084,11905.0201,546.0262,65.4885,1422.5306,1344.8986
TCGA-D8-A142-01,15.9363,498.3453,674.6348,134.927,3019.9203,369.7211,133.8645,2411.1554,2922.7092
TCGA-A8-A07I-01,873.994,186.7181,1463.5652,225.3335,1948.6275,324.5508,105.3908,2196.4502,2044.758
TCGA-D8-A1JH-01,70.3498,252.8847,1279.2965,138.9154,3572.8032,570.7003,38.7434,409.6094,1625.693
