,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-E2-A1LS-01,4.5045,1408.2032,783.7838,116.6166,9207.2072,190.6907,92.0921,1369.3694,1899.3994
TCGA-AO-A0JL-01,2.4453,626.3203,273.262,259.2016,3195.3931,313.6095,751.3178,2578.5667,1800.3506
TCGA-BH-A1EW-01,58.2315,133.0158,763.1201,135.8735,2785.7656,615.0252,83.0338,1227.5341,1368.44
TCGA-AR-A2LR-01,45.6385,597.2185,620.9748,171.3871,366.0789,377.7313,635.0547,1270.595,1934.2951
TCGA-AO-A03U-01,21.0558,194.9863,1625.267,136.1001,3646.9332,584.376,34.1776,396.094,1811.718
TCGA-E2-A1L7-01,137.3286,696.921,2130.7776,389.664,3198.8354,446.4394,235.3512,4174.2084,1575.6399
TCGA-AO-A12F-01,3.4028,1092.8456,167.4181,223.2242,687.0268,184.4322,250.1063,3026.1165,1421.3526
TCGA-BH-A0BG-01,22.6276,666.6667,1312.0885,368.0133,6577.7275,657.7727,123.5092,2179.7954,1457.5968
TCGA-E2-A150-01,6.4751,499.6074,365.0344,191.4205,5488.8709,1430.1902,93.4844,2676.2444,1468.6362
TCGA-A2-A0D0-01,16.0626,675.0865,429.5717,203.4596,4766.8863,348.4349,829.4893,9445.6343,1766.4745
TCGA-GM-A2DF-01,26.6064,401.5462,773.5944,141.5663,5914.1566,471.3855,1576.3052,1853.4137,1197.2892
TCGA-GM-A2DH-01,54.7588,677.0821,1441.721,270.4042,3377.3142,688.6571,422.1643,5405.9974,2589.0482
TCGA-AC-A2BK-01,1.2792,861.1289,183.5625,574.0326,1416.3735,841.0617,581.7077,2864.7266,2178.4458
TCGA-BH-A0BL-01,56.232,413.2325,1299.4158,254.4119,2353.8423,662.6261,376.6026,3462.9811,2494.8783
TCGA-B6-A402-01,0.815,647.6895,353.7082,107.987,12647.1068,102.6895,232.6813,2136.9193,2393.2355
TCGA-GM-A2DB-01,48.4713,272.8635,324.3848,84.2655,10615.2125,296.0477,263.9821,1318.4191,1844.8919
TCGA-AO-A1KR-01,6.0201,975.9064,104.3478,151.8395,7400.0,182.6087,800.6689,3670.903,1756.5217
