"","FLT3","GeneID","Gene_Expression","TCGA"
"143",449.0554,"FANCL",8.44920437071709,"Non-TNBC"
"144",7.659,"FANCL",8.48730786653878,"Non-TNBC"
"145",294.4999,"FANCL",9.10164981348828,"Non-TNBC"
"146",6.496,"FANCL",8.16701463660351,"Non-TNBC"
"147",85.3746,"FANCL",8.27953351145518,"Non-TNBC"
"148",983.7476,"FANCL",8.82519699617601,"Non-TNBC"
"149",9.4974,"FANCL",8.38696351788707,"Non-TNBC"
"150",47.1436,"FANCL",8.78609479443993,"Non-TNBC"
"151",118.9759,"FANCL",8.23616778409147,"Non-TNBC"
"152",396.3682,"FANCL",7.92013487139979,"Non-TNBC"
"153",34.5396,"FANCL",7.36945077933766,"Non-TNBC"
"154",36.3427,"FANCL",7.7322617363306,"Non-TNBC"
"155",5.1622,"FANCL",8.49152564754737,"Non-TNBC"
"156",75.6628,"FANCL",8.73927464974858,"Non-TNBC"
"157",29.0073,"FANCL",9.3156457006152,"Non-TNBC"
"158",3.1686,"FANCL",8.88384744137981,"Non-TNBC"
"159",135.1044,"FANCL",8.23280079884684,"Non-TNBC"
"160",66.6849,"FANCL",8.41886794974505,"Non-TNBC"
"161",189.3376,"FANCL",8.3129197027089,"Non-TNBC"
"162",413.4969,"FANCL",7.63070614723556,"Non-TNBC"
"163",59.3846,"FANCL",8.54389833734677,"Non-TNBC"
"164",81.302,"FANCL",8.50241772796075,"Non-TNBC"
"165",77.2667,"FANCL",7.89344776509145,"Non-TNBC"
"166",51.203,"FANCL",7.90852532459914,"Non-TNBC"
"167",9.9136,"FANCL",8.68537920151815,"Non-TNBC"
"168",24.6212,"FANCL",9.03083180924607,"Non-TNBC"
"169",80.5085,"FANCL",9.17520995028033,"Non-TNBC"
"170",2.2143,"FANCL",7.94697468025906,"Non-TNBC"
"171",7.4349,"FANCL",7.76839144915014,"Non-TNBC"
"172",11.3009,"FANCL",8.25088579974498,"Non-TNBC"
"173",12.069,"FANCL",8.46129608034903,"Non-TNBC"
"174",200.7131,"FANCL",7.85898742127583,"Non-TNBC"
"175",494.2945,"FANCL",9.16333292754905,"Non-TNBC"
"176",0,"FANCL",7.70521904353859,"Non-TNBC"
"177",34.749,"FANCL",8.62637160005011,"Non-TNBC"
"178",23.507,"FANCL",9.71799491167171,"Non-TNBC"
"179",1.4388,"FANCL",7.60434640016716,"Non-TNBC"
"180",162.8365,"FANCL",7.54768810956772,"Non-TNBC"
"181",19.4044,"FANCL",7.75493492330442,"Non-TNBC"
"182",7.5251,"FANCL",8.29143641628327,"Non-TNBC"
"183",145.8783,"FANCL",7.58594500209122,"Non-TNBC"
"184",15.1384,"FANCL",7.50631234213487,"Non-TNBC"
"185",37.3016,"FANCL",8.98153760003799,"Non-TNBC"
"186",4.1475,"FANCL",7.67707830131443,"Non-TNBC"
"187",65.996,"FANCL",8.16775632409119,"Non-TNBC"
"188",24.8005,"FANCL",8.7319852325636,"Non-TNBC"
"189",933.3333,"FANCL",8.64858048589176,"Non-TNBC"
"190",7.1654,"FANCL",8.5064797618594,"Non-TNBC"
"191",15.7983,"FANCL",8.23715402087357,"Non-TNBC"
"192",61.8798,"FANCL",7.99204157616236,"Non-TNBC"
"193",19.1672,"FANCL",7.39194296047272,"Non-TNBC"
"194",45.2112,"FANCL",7.70798301454137,"Non-TNBC"
"195",140.149,"FANCL",8.09593918434592,"Non-TNBC"
"196",254.0424,"FANCL",7.41613966911757,"Non-TNBC"
"197",13.4831,"FANCL",8.40198195099168,"Non-TNBC"
"198",625.1962,"FANCL",8.10883230341638,"Non-TNBC"
"199",329.1695,"FANCL",8.39772853248259,"Non-TNBC"
"200",410.6536,"FANCL",9.2707669580836,"Non-TNBC"
"201",1.489,"FANCL",8.82556972848024,"Non-TNBC"
"202",0,"FANCL",7.91606276567978,"Non-TNBC"
"203",29.6846,"FANCL",8.42188767815823,"Non-TNBC"
"204",91.6154,"FANCL",8.14198550831697,"Non-TNBC"
"205",151.3317,"FANCL",8.15579425548958,"Non-TNBC"
"206",394.3718,"FANCL",8.49569676135439,"Non-TNBC"
"207",3.5404,"FANCL",8.26874643096598,"Non-TNBC"
"208",474.8057,"FANCL",7.74835858224412,"Non-TNBC"
"209",0.8327,"FANCL",9.18618878717906,"Non-TNBC"
"210",334.4635,"FANCL",8.97161252577015,"Non-TNBC"
"211",266.9924,"FANCL",8.58850814678835,"Non-TNBC"
"212",190.8191,"FANCL",7.73265383976082,"Non-TNBC"
"213",9.4524,"FANCL",8.90720645113184,"Non-TNBC"
"214",123.1703,"FANCL",8.28616775385609,"Non-TNBC"
"215",15.9363,"FANCL",8.96389398192409,"Non-TNBC"
"216",873.994,"FANCL",7.55242395300311,"Non-TNBC"
"217",70.3498,"FANCL",7.98802964541702,"Non-TNBC"
"218",123.3645,"FANCL",8.7185630139535,"Non-TNBC"
"219",48.9209,"FANCL",8.1827692564118,"Non-TNBC"
"220",30.927,"FANCL",8.60915767944351,"Non-TNBC"
"221",12.3254,"FANCL",9.14291525079788,"Non-TNBC"
"222",102.5475,"FANCL",8.26298838162507,"Non-TNBC"
"223",10.0801,"FANCL",7.3737595583192,"Non-TNBC"
"224",36.8917,"FANCL",9.05136258451412,"Non-TNBC"
"225",31.7592,"FANCL",8.01291556241093,"Non-TNBC"
"226",143.217,"FANCL",7.63094707942648,"Non-TNBC"
"227",124.745,"FANCL",8.42540517247296,"Non-TNBC"
"228",11.9403,"FANCL",8.25325374285243,"Non-TNBC"
"229",70.65,"FANCL",7.18940552358062,"Non-TNBC"
"230",29.967,"FANCL",7.93589402322305,"Non-TNBC"
"231",11.8407,"FANCL",7.92004552417241,"Non-TNBC"
"232",114.9425,"FANCL",7.91198212864958,"Non-TNBC"
"233",218.0569,"FANCL",7.5831045864546,"Non-TNBC"
"234",4.6729,"FANCL",7.59745817355761,"Non-TNBC"
"235",12.3768,"FANCL",8.84655066909819,"Non-TNBC"
"236",6.7812,"FANCL",9.38973156625067,"Non-TNBC"
"237",85.4171,"FANCL",8.60141239107223,"Non-TNBC"
"238",295.1317,"FANCL",8.30444487418023,"Non-TNBC"
"239",336.3142,"FANCL",8.63681636299638,"Non-TNBC"
"240",325.0844,"FANCL",8.75485377209344,"Non-TNBC"
"241",926.0379,"FANCL",8.44343467476151,"Non-TNBC"
"242",0,"FANCL",8.63981350951993,"Non-TNBC"
"243",1.5456,"FANCL",8.71022441783883,"Non-TNBC"
"244",4.5751,"FANCL",8.61970498299711,"Non-TNBC"
"245",1412.7719,"FANCL",8.56464148515956,"Non-TNBC"
"246",164.0535,"FANCL",8.04350582342817,"Non-TNBC"
"247",8.6908,"FANCL",8.60343310733688,"Non-TNBC"
"248",64.1956,"FANCL",8.18712785651442,"Non-TNBC"
"249",98.8189,"FANCL",8.04404979877472,"Non-TNBC"
"250",1195.268,"FANCL",8.48901661624757,"Non-TNBC"
"251",14.6838,"FANCL",8.20025911776238,"Non-TNBC"
"252",43.5247,"FANCL",7.95851733634496,"Non-TNBC"
"253",11.5404,"FANCL",8.27381797363267,"Non-TNBC"
"254",375.4822,"FANCL",8.33342462825309,"Non-TNBC"
"255",45.7895,"FANCL",8.48602004572999,"Non-TNBC"
"256",263.6888,"FANCL",8.03853934049666,"Non-TNBC"
"257",18.7137,"FANCL",8.49580507120785,"Non-TNBC"
"258",41.7526,"FANCL",8.03806244345238,"Non-TNBC"
"259",19.367,"FANCL",7.73687068876152,"Non-TNBC"
"260",0.6228,"FANCL",8.76547971604489,"Non-TNBC"
"261",46.3924,"FANCL",7.99698014374261,"Non-TNBC"
"262",203.3898,"FANCL",7.05913784452816,"Non-TNBC"
"263",460.911,"FANCL",8.32117183433629,"Non-TNBC"
"264",33.1821,"FANCL",7.64477273127298,"Non-TNBC"
"265",36.8264,"FANCL",7.86509791218611,"Non-TNBC"
"266",202.864,"FANCL",7.489216969452,"Non-TNBC"
"267",34.6696,"FANCL",7.54841504576268,"Non-TNBC"
"268",423.0007,"FANCL",7.68573625668032,"Non-TNBC"
"269",1091.3509,"FANCL",9.74494581857274,"Non-TNBC"
"270",59.2349,"FANCL",8.21901504440365,"Non-TNBC"
"271",13.2284,"FANCL",7.98209289223093,"Non-TNBC"
"272",1.3829,"FANCL",8.7771869191391,"Non-TNBC"
"273",719.5782,"FANCL",8.6665872498761,"Non-TNBC"
"274",428.9594,"FANCL",8.84560358030443,"Non-TNBC"
"275",592.9897,"FANCL",7.52166953040325,"Non-TNBC"
"276",16.718,"FANCL",8.99362681452035,"Non-TNBC"
"277",0.979,"FANCL",8.10571997711885,"Non-TNBC"
"278",816.1019,"FANCL",8.60504608885329,"Non-TNBC"
"279",214.3828,"FANCL",9.38960273242596,"Non-TNBC"
"280",7.171,"FANCL",8.06714444807763,"Non-TNBC"
"281",31.4308,"FANCL",8.84923087229487,"Non-TNBC"
"282",57.2705,"FANCL",7.75069961782751,"Non-TNBC"
"283",33.7083,"FANCL",7.70398729576351,"Non-TNBC"
"284",265.4422,"FANCL",8.70556984042418,"Non-TNBC"
"285",265.7697,"FANCL",8.26267086851071,"Non-TNBC"
"286",258.1436,"FANCL",8.34653323490227,"Non-TNBC"
"287",439.4333,"FANCL",8.64919724680273,"Non-TNBC"
"288",533.9868,"FANCL",9.20453764399236,"Non-TNBC"
"289",346.5609,"FANCL",7.97992415718839,"Non-TNBC"
"290",6.9109,"FANCL",7.98359618742141,"Non-TNBC"
"291",414.9155,"FANCL",9.61345743147986,"Non-TNBC"
"292",24.8017,"FANCL",8.39846495770502,"Non-TNBC"
"293",2.8781,"FANCL",8.45537037720301,"Non-TNBC"
"294",9.6046,"FANCL",7.67615031996447,"Non-TNBC"
"295",4.2725,"FANCL",8.4231280989248,"Non-TNBC"
"296",173.7869,"FANCL",7.66106761818734,"Non-TNBC"
